# word	per_million
# Source: Google Books Ngram Viewer 1-gram English dataset (20120701),
# https://books.google.com/ngrams/info -- freely usable, no share-alike.
# Regenerate with scripts/build_english_frequency.py. Top 15000 words
# by total occurrence across a corpus of 378277505813 tokens.
officers	95.5425
wish	95.4852
opportunity	95.4689
computer	95.3673
exercise	95.2577
police	95.2130
create	95.2034
reality	95.0635
worked	94.9626
add	94.9579
learned	94.8867
inside	94.8544
description	94.7938
teaching	94.7843
summer	94.7322
gas	94.6807
car	94.5960
scientific	94.5676
title	94.4014
soil	94.1786
claim	94.1502
objects	94.1148
village	94.0952
trying	94.0470
traditional	94.0057
protection	93.8491
entirely	93.8487
employed	93.8145
soviet	93.7896
fixed	93.7511
lady	93.6708
provides	93.6087
efforts	93.5942
capacity	93.5803
completely	93.4437
expressed	93.3396
majority	93.1228
iv	93.0766
principal	93.0322
purposes	93.0110
mental	92.9431
access	92.8761
saying	92.8072
raised	92.7819
reduced	92.6569
families	92.6152
changed	92.5151
compared	92.4722
practical	92.3409
successful	92.0813
interesting	92.0694
code	91.9857
causes	91.9214
increasing	91.9043
plants	91.8482
impossible	91.7534
growing	91.7131
facts	91.6808
develop	91.6552
color	91.6404
begin	91.6138
someone	91.6089
event	91.5875
somewhat	91.5241
month	91.4674
offered	91.2886
notice	91.2509
revolution	91.2027
philosophy	91.1133
leading	91.0524
showed	90.9464
ones	90.9427
affairs	90.8286
beautiful	90.7245
relatively	90.6659
covered	90.6340
employment	90.6224
offer	90.5913
november	90.5530
operations	90.5348
wrong	90.4921
negative	90.4494
examples	90.4305
require	90.4043
acts	90.3064
attack	90.1556
tree	90.0394
address	89.8989
institutions	89.8734
aid	89.8427
africa	89.8096
david	89.7111
proposed	89.6397
hall	89.6369
motion	89.5591
receive	89.5354
till	89.5063
g	89.4806
carry	89.3381
connection	89.3380
female	89.3259
serve	89.1051
weeks	89.0058
stone	88.9702
quickly	88.9330
constitution	88.7665
formation	88.6753
evening	88.6433
race	88.4812
animal	88.4564
procedure	88.4286
collection	88.0398
annual	87.9860
royal	87.9403
secretary	87.9016
rich	87.8981
en	87.7775
male	87.6877
professional	87.6735
greatest	87.6459
context	87.4296
trust	87.3633
units	87.3538
trees	87.2820
mary	87.2671
appearance	87.2353
firm	87.2007
balance	87.0840
britain	87.0073
spring	86.9226
stop	86.8071
reaction	86.7391
characteristics	86.6793
leaders	86.5610
sample	86.5455
classes	86.3121
foot	86.2824
battle	86.2319
contract	86.2218
thirty	86.2052
accepted	86.1927
japanese	86.1806
matters	85.9905
resistance	85.9049
hair	85.8903
believed	85.7822
drawn	85.7809
reports	85.7746
standing	85.7713
equipment	85.7287
california	85.5212
wood	85.2956
floor	85.2554
married	85.2153
argument	85.0777
mark	85.0747
file	85.0255
smith	84.9903
miss	84.9265
hill	84.8718
opened	84.8121
daughter	84.7586
despite	84.6926
properties	84.6814
conference	84.6636
oh	84.6305
glass	84.6276
advantage	84.5031
external	84.4511
prevent	84.4076
goes	84.3543
output	84.2477
judge	84.2032
houses	84.1959
stated	84.1884
represented	83.9565
investment	83.9332
enemy	83.9206
papers	83.8102
japan	83.7732
piece	83.7571
credit	83.7479
commercial	83.6785
northern	83.6348
square	83.5741
reach	83.3747
actions	83.0317
contains	82.9696
meant	82.9395
hospital	82.9324
conflict	82.9270
native	82.9172
visit	82.9082
february	82.8331
existing	82.7381
designed	82.6118
judgment	82.5695
fell	82.5153
sex	82.3626
entered	82.3015
film	82.2940
initial	82.2362
records	82.2049
official	82.1768
african	81.9814
holy	81.8299
requires	81.8073
enter	81.7017
explain	81.6835
happened	81.6580
introduced	81.5682
worth	81.4877
sat	81.4694
roman	81.3319
concerning	81.2466
educational	81.2206
treated	81.1957
officer	81.1493
element	81.0450
prices	81.0304
fair	80.9782
skin	80.9753
aspects	80.8246
conduct	80.7618
cover	80.7542
ordinary	80.7068
ship	80.6252
forth	80.5625
double	80.4893
contrast	80.4495
responsibility	80.3279
moving	80.2748
avoid	80.2504
technical	80.1120
mouth	79.9761
k	79.8849
running	79.7930
exist	79.7457
network	79.6984
impact	79.6393
responsible	79.6053
rose	79.5903
arrived	79.5581
portion	79.4978
occurs	79.4799
requirements	79.3539
intended	79.3284
machine	79.3244
search	79.1538
steps	79.1105
views	78.9511
leaves	78.9192
understood	78.7805
served	78.7543
san	78.7449
spent	78.6758
definition	78.6598
powerful	78.6115
governor	78.5721
game	78.5654
scene	78.5633
filled	78.5427
brain	78.4895
chance	78.4140
shape	78.3726
origin	78.2960
spiritual	78.2300
numerous	78.2101
happy	78.2033
obtain	78.1830
window	78.1243
cities	78.0717
closed	78.0566
fish	77.9723
stress	77.9666
setting	77.9077
standards	77.7958
ibid	77.7952
professor	77.7949
sexual	77.7851
eastern	77.7346
older	77.7079
smaller	77.6921
consideration	77.6542
trial	77.6502
speaking	77.6424
models	77.5197
winter	77.3634
correct	77.3088
hot	77.2843
boys	77.2793
stay	77.1952
removed	77.1660
plans	77.0950
perfect	77.0376
sales	76.9476
leaving	76.8596
accept	76.7969
fields	76.7936
usual	76.7643
prior	76.7501
captain	76.7296
suddenly	76.6971
apply	76.6887
domestic	76.6736
tradition	76.6513
frequency	76.5842
marked	76.5681
horse	76.5256
speed	76.5024
benefit	76.3413
